doc_id,author,doc_word_count,sentence_word_count_mean,conc_rating_mean,conc_rating_mean_n,prev_prevalence_mean,prev_prevalence_n,subtlex_us_freq_zipf_mean,subtlex_us_freq_zipf_n,cp_pron_mean,cp_pron_n,aoa_rating_mean,aoa_rating_mean_n
1,proust,125,8.928571428571429,2.8442307692307693,0.832,2.279614878008388,0.84,4.417078081888701,0.84,6.730769230769231,0.104,7.230917107142857,0.672
2,proust,85,7.083333333333333,2.938607594936709,0.9294117647058824,2.3150475110708317,0.9411764705882353,4.941988278728508,0.9411764705882353,6.724545454545455,0.12941176470588237,6.2290490684931505,0.8588235294117647
3,proust,122,11.090909090909092,2.8733333333333335,0.9098360655737705,2.312857100180297,0.9098360655737705,4.854996992669693,0.9098360655737705,6.795,0.09836065573770492,6.35103207070707,0.8114754098360656
4,proust,51,17,2.8073333333333332,0.8823529411764706,2.2980936714539006,0.9019607843137255,4.38788821062439,0.9019607843137255,6.8,0.09803921568627451,7.821820780487805,0.803921568627451
5,proust,65,10.833333333333334,2.8408620689655173,0.8923076923076924,2.319710773759274,0.9076923076923077,4.9792640053358195,0.9076923076923077,6.708333333333333,0.09230769230769231,6.410993166666667,0.8307692307692308
6,proust,129,16.125,2.9593137254901962,0.7906976744186046,2.2968822244443126,0.7984496124031008,4.655569558780402,0.7984496124031008,6.83,0.046511627906976744,6.480764765432099,0.627906976744186
7,proust,121,40.333333333333336,3.429081632653061,0.8099173553719008,2.3152597293839503,0.8181818181818182,4.812290959862925,0.8181818181818182,6.7973684210526315,0.15702479338842976,5.7723139761904765,0.6942148760330579
8,proust,179,35.8,3.33272,0.6983240223463687,2.214010190319074,0.7206703910614525,4.5264350780062745,0.7206703910614525,6.855714285714286,0.0782122905027933,6.685519300970874,0.5754189944134078
9,proust,340,42.5,3.1420152091254754,0.7735294117647059,2.2364904288519405,0.8,4.299217298891349,0.8,6.696,0.08823529411764706,6.933465718894009,0.638235294117647
10,proust,125,13.88888888888889,2.8875229357798164,0.872,2.2977985570841204,0.896,4.809585638531517,0.896,6.71,0.032,6.452215344827587,0.696
11,james,107,11.88888888888889,2.5996341463414634,0.7663551401869159,2.3133053248768416,0.7850467289719626,4.678928459538405,0.7850467289719626,6.743846153846154,0.12149532710280374,7.247532246376812,0.6448598130841121
12,james,85,9.444444444444445,2.928688524590164,0.7176470588235294,2.3544119631377582,0.7176470588235294,4.680128351608877,0.7176470588235294,6.6925,0.1411764705882353,7.151831754716981,0.6235294117647059
13,james,162,10.8,3.0929310344827585,0.7160493827160493,2.334743007226881,0.7222222222222222,4.815742836625882,0.7222222222222222,6.638461538461539,0.08024691358024691,6.46524679245283,0.654320987654321
14,james,90,7.5,2.6384,0.8333333333333334,2.3825712462610067,0.8444444444444444,4.753315838705681,0.8444444444444444,6.834,0.05555555555555555,6.799776411764706,0.7555555555555555
15,james,88,8.8,2.9383333333333335,0.8863636363636364,2.3447943903013,0.8863636363636364,4.761856231343348,0.8863636363636364,6.866923076923077,0.14772727272727273,6.585126969230769,0.7386363636363636
16,james,68,13.6,2.7472222222222222,0.7941176470588235,2.2604390650992676,0.8235294117647058,4.178265028508368,0.8235294117647058,6.6,0.10294117647058823,7.885185434782609,0.6764705882352942
17,james,179,12.785714285714286,2.7622068965517244,0.8100558659217877,2.2980854270095072,0.8268156424581006,4.544107006173437,0.8268156424581006,6.7427777777777775,0.1005586592178771,6.996004511627907,0.7206703910614525
18,james,104,10.4,2.7381927710843375,0.7980769230769231,2.348384213062901,0.7980769230769231,4.67977510616417,0.7980769230769231,6.776,0.09615384615384616,6.638866547945206,0.7019230769230769
19,james,75,12.5,2.5867241379310344,0.7733333333333333,2.2402575661151207,0.8,4.73464209957819,0.8,6.645,0.02666666666666667,7.257865826923077,0.6933333333333334
20,james,93,8.454545454545455,2.369142857142857,0.7526881720430108,2.319142383455981,0.7526881720430108,4.729470728836525,0.7526881720430108,6.798571428571429,0.07526881720430108,7.419435125,0.6881720430107527
